time,open,close,high,low,volume,amount,junjia
2019-06-25 09:01:00,7584.0,7584.0,7590.0,7578.0,2134.0,80921280.0,7584.0
2019-06-25 09:02:00,7584.0,7588.0,7590.0,7584.0,566.0,21462720.0,7584.0
2019-06-25 09:03:00,7588.0,7598.0,7608.0,7588.0,968.0,36779920.0,7588.0
2019-06-25 09:04:00,7600.0,7596.0,7600.0,7592.0,294.0,11193980.0,7590.0
2019-06-25 09:05:00,7594.0,7606.0,7606.0,7594.0,500.0,18975000.0,7590.0
2019-06-25 09:06:00,7606.0,7602.0,7606.0,7596.0,680.0,25857420.0,7592.0
2019-06-25 09:07:00,7600.0,7596.0,7602.0,7596.0,408.0,15487680.0,7592.0
2019-06-25 09:08:00,7598.0,7600.0,7600.0,7594.0,496.0,18828160.0,7592.0
2019-06-25 09:09:00,7598.0,7596.0,7600.0,7596.0,142.0,5390320.0,7592.0
2019-06-25 09:10:00,7598.0,7594.0,7598.0,7594.0,244.0,9326560.0,7594.0
2019-06-25 09:11:00,7594.0,7592.0,7598.0,7592.0,176.0,6682720.0,7594.0
2019-06-25 09:12:00,7592.0,7596.0,7598.0,7592.0,256.0,9720320.0,7594.0
2019-06-25 09:13:00,7596.0,7602.0,7604.0,7596.0,524.0,19896280.0,7594.0
2019-06-25 09:14:00,7604.0,7602.0,7604.0,7600.0,278.0,10555660.0,7594.0
2019-06-25 09:15:00,7602.0,7596.0,7602.0,7596.0,476.0,18073720.0,7594.0
2019-06-25 09:16:00,7596.0,7596.0,7600.0,7592.0,174.0,6606780.0,7594.0
2019-06-25 09:17:00,7596.0,7600.0,7600.0,7594.0,128.0,4860160.0,7594.0
2019-06-25 09:18:00,7602.0,7602.0,7604.0,7598.0,412.0,15643640.0,7594.0
2019-06-25 09:19:00,7604.0,7604.0,7604.0,7600.0,186.0,7062420.0,7594.0
2019-06-25 09:20:00,7606.0,7606.0,7606.0,7602.0,116.0,4496100.0,7596.0
2019-06-25 09:21:00,7606.0,7606.0,7606.0,7602.0,204.0,7747920.0,7596.0
2019-06-25 09:22:00,7604.0,7604.0,7606.0,7604.0,116.0,4405680.0,7596.0
2019-06-25 09:23:00,7606.0,7604.0,7606.0,7602.0,172.0,6532560.0,7596.0
2019-06-25 09:24:00,7600.0,7600.0,7602.0,7598.0,206.0,7823880.0,7596.0
2019-06-25 09:25:00,7600.0,7602.0,7604.0,7600.0,58.0,2202840.0,7596.0
2019-06-25 09:26:00,7600.0,7602.0,7604.0,7600.0,90.0,3418200.0,7596.0
2019-06-25 09:27:00,7602.0,7602.0,7602.0,7602.0,86.0,3266280.0,7596.0
2019-06-25 09:28:00,7600.0,7602.0,7604.0,7600.0,74.0,2810520.0,7596.0
2019-06-25 09:29:00,7602.0,7614.0,7616.0,7602.0,930.0,35321400.0,7596.0
2019-06-25 09:30:00,7612.0,7614.0,7614.0,7606.0,628.0,23968660.0,7598.0
2019-06-25 09:31:00,7614.0,7610.0,7614.0,7608.0,218.0,8281820.0,7598.0
2019-06-25 09:32:00,7608.0,7608.0,7612.0,7608.0,164.0,6230360.0,7598.0
2019-06-25 09:33:00,7608.0,7608.0,7612.0,7606.0,320.0,12156800.0,7598.0
2019-06-25 09:34:00,7606.0,7604.0,7610.0,7604.0,64.0,2431360.0,7598.0
2019-06-25 09:35:00,7608.0,7610.0,7610.0,7606.0,250.0,9497500.0,7598.0
2019-06-25 09:36:00,7608.0,7606.0,7610.0,7606.0,82.0,3115180.0,7598.0
2019-06-25 09:37:00,7606.0,7606.0,7608.0,7604.0,114.0,4330860.0,7598.0
2019-06-25 09:38:00,7606.0,7606.0,7608.0,7606.0,34.0,1291660.0,7598.0
2019-06-25 09:39:00,7604.0,7604.0,7606.0,7604.0,22.0,835780.0,7598.0
2019-06-25 09:40:00,7604.0,7604.0,7604.0,7598.0,256.0,9725440.0,7598.0
2019-06-25 09:41:00,7604.0,7600.0,7604.0,7600.0,160.0,6078400.0,7598.0
2019-06-25 09:42:00,7598.0,7596.0,7600.0,7596.0,220.0,8357800.0,7598.0
2019-06-25 09:43:00,7598.0,7596.0,7598.0,7594.0,376.0,14284240.0,7598.0
2019-06-25 09:44:00,7596.0,7596.0,7602.0,7596.0,352.0,13372480.0,7598.0
2019-06-25 09:45:00,7598.0,7598.0,7598.0,7594.0,334.0,12688660.0,7598.0
2019-06-25 09:46:00,7594.0,7594.0,7596.0,7594.0,122.0,4634780.0,7598.0
2019-06-25 09:47:00,7594.0,7590.0,7594.0,7590.0,286.0,10865140.0,7598.0
